LAC CAN,LAC CANINUM
LAC FEL,LAC FELINUM
LAC VAC DEF,LAC DEFLORATUM(VACINUM)
LACHESIS,LACHESIS
LACHNANTHES TIN,LACHNANTHES TINCTORIA
LACTUCA,LACTUCA
LAMIUM ALB,LAMIUM ALBUM
LAPIS ALB,LAPIS ALBUS
LAPPA MAJ,LAPPA MAJOR
LECITHINUM,LECITHINUM
LEDUM PAL,LEDUM PALUSTRE
LEMNA MIN,LEMNA MINOR
LEONURUS CAR,LEONURUS CARDIACA
LEPTANDRA,LEPTANDRA
LESPEDEZA CAP,LESPEDEZA CAPITATA
LESPEDEZA SIE,LESPEDEZA SIEBOLDII
LEUCUS ASP,LEUCUS ASPERA
LEVISTICUM OFF,LEVISTICUM OFFICINALE
LIATRIS SPI,LIATRIS SPICATA
LILIUM TIG,LILIUM TIGRINUM
LIMULUS,LIMULUS
LINARIA VUL,LINARIA VULGARIS
LINUM CAT,LINUM CATHARTICUM
LINUM USI,LINUM USITATISSIMUM
LITHIUM BEN,LITHIUM BENZOICUM
LITHIUM BRO,LITHIUM BROMATUM
LITHIUM CARB,LITHIUM CARBONICUM
LITHIUM CIT,LITHIUM CITRICUM
LITHIUM MUR,LITHIUM MURIATICUM
LITHOSPERMUM OFF,LITHOSPERMUM OFFICINALE
LOBELIA CARD,LOBELIA CARDINALIS
LOBELIA ERI,LOBELIA ERINUS
LOBELIA INF,LOBELIA INFLATA
LOBELIA SYP,LOBELIA SYPHILITICA
LOLIUM TEM,LOLIUM TEMULENTUM
LONICERA CAP,LONICERA CAPRIFOLIUM
LONICERA XYL,LONICERA XYLOSTEUM
LOPHOPHYTUM LEA,LOPHOPHYTUM LEANDRI
LUFFA AMA,LUFFA AMARA
LUFFA BIN,LUFFA BINDAL
LUFFA OPE,LUFFA OPERCULATA
LUPULINUM,LUPULINUM
LUPULUS,LUPULUS
LYCOPERSICUM ESC,LYCOPERSICUM ESCULENTUM
